index,x,y
1,-22.5,-40.5
2,-18,-40.5
3,-13.5,-40.5
4,-9,-40.5
5,-4.5,-40.5
6,0,-40.5
7,4.5,-40.5
8,9,-40.5
9,13.5,-40.5
10,18,-40.5
11,22.5,-40.5
12,-27,-36
13,-22.5,-36
14,-18,-36
15,-13.5,-36
16,-9,-36
17,-4.5,-36
18,0,-36
19,4.5,-36
20,9,-36
21,13.5,-36
22,18,-36
23,22.5,-36
24,27,-36
25,-31.5,-31.5
26,-27,-31.5
27,-22.5,-31.5
28,-18,-31.5
29,-13.5,-31.5
30,-9,-31.5
31,-4.5,-31.5
32,0,-31.5
33,4.5,-31.5
34,9,-31.5
35,13.5,-31.5
36,18,-31.5
37,22.5,-31.5
38,27,-31.5
39,31.5,-31.5
40,-36,-27
41,-31.5,-27
42,-27,-27
43,-22.5,-27
44,-18,-27
45,-13.5,-27
46,-9,-27
47,-4.5,-27
48,0,-27
49,4.5,-27
50,9,-27
51,13.5,-27
52,18,-27
53,22.5,-27
54,27,-27
55,31.5,-27
56,36,-27
57,-40.5,-22.5
58,-36,-22.5
59,-31.5,-22.5
60,-27,-22.5
61,-22.5,-22.5
62,-18,-22.5
63,-13.5,-22.5
64,-9,-22.5
65,-4.5,-22.5
66,0,-22.5
67,4.5,-22.5
68,9,-22.5
69,13.5,-22.5
70,18,-22.5
71,22.5,-22.5
72,27,-22.5
73,31.5,-22.5
74,36,-22.5
75,40.5,-22.5
76,-40.5,-18
77,-36,-18
78,-31.5,-18
79,-27,-18
80,-22.5,-18
81,-18,-18
82,-13.5,-18
83,-9,-18
84,-4.5,-18
85,0,-18
86,4.5,-18
87,9,-18
88,13.5,-18
89,18,-18
90,22.5,-18
91,27,-18
92,31.5,-18
93,36,-18
94,40.5,-18
95,-45,-13.5
96,-40.5,-13.5
97,-36,-13.5
98,-31.5,-13.5
99,-27,-13.5
100,-22.5,-13.5
101,-18,-13.5
102,-13.5,-13.5
103,-9,-13.5
104,-4.5,-13.5
105,0,-13.5
106,4.5,-13.5
107,9,-13.5
108,13.5,-13.5
