Ag	107.87	10.5	0
Al	26.9815	2.7	0
Ar	39.948	1.4	0
As	74.922	5.72	0
Au	196.967	19.3	0
B	10.811	2.34	0
Ba	137.34	3.5	0
Be	9.0122	1.85	0
Bi	208.98	9.8	0
Br	79.909	3.12	0
C	12.01115	2.26	0
Ca	40.08	1.55	0
Cd	112.4	8.65	0
Ce	140.12	6.67	0
Cl	35.453	1.56	0
Co	58.933	8.9	0
Cr	51.996	7.19	0
Cs	132.905	1.9	0
Cu	63.54	8.96	0
Dy	162.5	8.54	0
Er	167.26	9.05	0
Eu	151.96	5.26	0
F	18.9984	1.505	0
Fe	55.847	7.86	0
Ga	69.72	5.91	0
Gd	157.25	7.89	0
Ge	72.59	5.32	0
H	1.00797	0.071	0
He	4.0026	0.126	0
Hf	178.49	13.1	0.000480
Hg	200.59	13.6	0
Ho	164.93	8.8	0
I	126.904	4.94	0
In	114.82	7.31	0
Ir	192.2	22.5	0
K	39.102	0.86	0
Kr	83.8	2.6	0
La	138.91	6.17	0
Li	6.939	0.53	0
Lu	174.97	9.84	0
Mg	24.312	1.74	0
Mn	54.938	7.43	0
Mo	95.94	10.2	0
N	14.0067	0.81	0
Na	22.9898	0.97	0
Nb	92.906	8.4	0.000245
Nd	144.24	7	0
Ne	20.183	1.2	0
Ni	58.71	8.9	0
O	15.9994	1.14	0
Os	190.2	22.6	0
P	30.9738	1.82	0
Pa	231	15.4	0
Pb	207.19	11.4	0
Pd	106.4	12	0
Po	210	9.2	0
Pr	140.907	6.77	0
Pt	195.09	21.4	0
Rb	85.47	1.53	0
Re	186.2	21	0
Rh	102.905	12.4	0
Ru	101.07	12.2	0
S	32.064	2.07	0
Sb	121.75	6.62	0
Sc	44.956	3	0
Se	78.96	4.79	0
Si	28.086	2.33	0
Sm	150.35	7.54	0
Sn	118.69	7.3	0
Sr	87.62	2.6	0
Ta	180.948	16.6	0.000365
Tb	158.924	8.27	0
Tc	98	11.5	0
Te	127.6	6.24	0
Th	232.038	11.7	0
Ti	47.9	4.51	0.000635
Tl	204.37	11.85	0
Tm	168.934	9.33	0
U	238.03	19.07	0
V	50.942	6.1	0
W	183.85	19.3	0
Xe	131.3	3.06	0
Y	88.905	4.47	0
Yb	173.04	6.98	0
Zn	65.37	7.14	0
Zr	91.22	6.49	0
