x	y
-45.172	-40.969
-40.668	-40.969
-36.168	-40.969
-31.671	-40.969
-27.171	-40.969
-22.670	-40.969
-18.169	-40.969
-13.670	-40.969
-9.170	-40.969
-4.670	-40.969
-0.171	-40.969
4.319	-40.969
8.819	-40.969
13.319	-40.969
17.819	-40.969
22.319	-40.969
26.818	-40.969
31.318	-40.969
35.818	-40.969
40.319	-40.969
44.819	-40.969
-45.171	-36.470
-40.670	-36.470
-36.171	-36.470
-31.670	-36.470
-27.170	-36.470
-22.669	-36.470
-18.170	-36.470
-13.669	-36.470
-9.170	-36.470
-4.668	-36.470
-0.169	-36.470
4.318	-36.470
8.819	-36.470
13.318	-36.470
17.819	-36.470
22.320	-36.470
26.820	-36.470
31.318	-36.470
35.820	-36.470
40.320	-36.470
44.819	-36.470
-45.166	-31.969
-40.671	-31.969
-36.170	-31.969
-31.670	-31.969
-27.171	-31.969
-22.670	-31.969
-18.171	-31.969
-13.670	-31.969
-9.169	-31.969
-4.669	-31.969
-0.169	-31.969
4.318	-31.969
8.819	-31.969
13.320	-31.969
17.819	-31.969
22.320	-31.969
26.819	-31.969
31.320	-31.969
35.819	-31.969
40.320	-31.969
44.821	-31.969
-45.166	-27.464
-40.672	-27.464
-36.169	-27.464
-31.672	-27.464
-27.171	-27.464
-22.669	-27.464
-18.168	-27.464
-13.669	-27.464
-9.170	-27.464
-4.669	-27.464
-0.169	-27.464
4.321	-27.464
8.819	-27.464
13.319	-27.464
17.820	-27.464
22.320	-27.464
26.820	-27.464
31.321	-27.464
35.818	-27.464
40.320	-27.464
44.820	-27.464
-45.166	-22.967
-40.670	-22.967
-36.170	-22.967
-31.669	-22.967
-27.170	-22.967
-22.668	-22.967
-18.168	-22.967
-13.670	-22.967
-9.169	-22.967
-4.671	-22.967
-0.171	-22.967
4.320	-22.967
8.819	-22.967
13.318	-22.967
17.820	-22.967
22.320	-22.967
26.820	-22.967
31.318	-22.967
35.819	-22.967
40.318	-22.967
44.820	-22.967
-45.167	-18.467
-40.671	-18.467
-36.169	-18.467
-31.670	-18.467
-27.169	-18.467
-22.669	-18.467
-18.168	-18.467
-13.671	-18.467
-9.169	-18.467
-4.668	-18.467
-0.169	-18.467
4.320	-18.467
8.819	-18.467
13.320	-18.467
17.818	-18.467
22.320	-18.467
26.820	-18.467
31.320	-18.467
35.820	-18.467
40.318	-18.467
44.819	-18.467
-45.167	-13.964
-40.672	-13.964
-36.170	-13.964
-31.670	-13.964
-27.171	-13.964
-22.670	-13.964
-18.168	-13.964
-13.669	-13.964
-9.169	-13.964
-4.668	-13.964
-0.168	-13.964
4.319	-13.964
8.819	-13.964
13.319	-13.964
17.819	-13.964
22.320	-13.964
26.819	-13.964
31.320	-13.964
35.819	-13.964
40.319	-13.964
44.819	-13.964
-45.169	-9.466
-40.670	-9.466
-36.171	-9.466
-31.671	-9.466
-27.171	-9.466
-22.669	-9.466
-18.170	-9.466
-13.669	-9.466
-9.169	-9.466
-4.668	-9.466
-0.170	-9.466
4.318	-9.466
8.819	-9.466
13.320	-9.466
17.821	-9.466
22.320	-9.466
26.820	-9.466
31.318	-9.466
35.821	-9.466
40.319	-9.466
44.820	-9.466
-45.167	-4.966
-40.670	-4.966
-36.170	-4.966
-31.670	-4.966
-27.171	-4.966
-22.670	-4.966
-18.170	-4.966
-13.669	-4.966
