Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ru	Pd	Ag	Ta	Ir	Pt

Spectrum 1 {1}	Yes	-44.959	-41.223	0	0	0	0	0	0	0	0

Spectrum 1 {2}	Yes	-40.461	-41.223	67.24	32.76	0	0	0	0	0	0

Spectrum 1 {3}	Yes	-35.961	-41.223	66.12	33.88	0	0	0	0	0	0

Spectrum 1 {4}	Yes	-31.461	-41.223	66.06	32.38	0	0	0	0	1.57	0

Spectrum 1 {5}	Yes	-26.96	-41.223	0	57.84	13.55	6.25	5.36	1.36	11.72	3.92

Spectrum 1 {6}	Yes	-22.46	-41.223	0	56.76	13.36	6.7	5.4	1.52	12.25	4.02

Spectrum 1 {7}	Yes	-17.96	-41.223	3.67	54.88	12.29	6.79	5.06	1.29	11.9	4.11

Spectrum 1 {8}	Yes	-13.46	-41.223	0	56.31	12.25	7.86	5.02	1.81	12.45	4.31

Spectrum 1 {9}	Yes	-8.96	-41.223	2.97	55.18	11.22	7.67	4.67	1.37	12.44	4.48

Spectrum 1 {10}	Yes	-4.458	-41.223	0	56.23	11.16	8.65	4.95	1.53	12.73	4.76

Spectrum 1 {11}	Yes	0.028	-41.223	2.57	55.51	10.64	8.7	4.23	1.03	12.52	4.8

Spectrum 1 {12}	Yes	4.529	-41.223	0	57.51	10	9.84	4.65	0	12.9	5.11

Spectrum 1 {13}	Yes	9.029	-41.223	0	58.05	9.28	10.27	4.4	0	12.69	5.3

Spectrum 1 {14}	Yes	13.53	-41.223	0	58	9.26	10.55	4.09	0	12.72	5.38

Spectrum 1 {15}	Yes	18.029	-41.223	0	58.33	8.62	11.36	3.83	0	12.39	5.47

Spectrum 1 {16}	Yes	22.529	-41.223	0	58.56	7.9	11.71	3.71	0	12.33	5.79

Spectrum 1 {17}	Yes	27.029	-41.223	0	59.56	7.45	11.93	3.32	0	11.71	6.02

Spectrum 1 {18}	Yes	31.531	-41.223	57.86	42.14	0	0	0	0	0	0

Spectrum 1 {19}	Yes	36.03	-41.223	81.43	15.26	0	0	3.31	0	0	0

Spectrum 1 {20}	Yes	40.528	-41.223	66.84	33.16	0	0	0	0	0	0

Spectrum 1 {21}	Yes	45.028	-41.223	100	0	0	0	0	0	0	0

--	--	-44.959	-36.719	--	--	--	--	--	--	--	--

Spectrum 1 {22}	Yes	-40.459	-36.719	100	0	0	0	0	0	0	0

Spectrum 1 {23}	Yes	-35.961	-36.719	74.87	25.13	0	0	0	0	0	0

Spectrum 1 {24}	Yes	-31.461	-36.719	0	57.39	14.24	5.67	6.09	1.71	11.05	3.84

Spectrum 1 {25}	Yes	-26.961	-36.719	3.55	55.33	13.22	6.22	5.64	1.4	10.81	3.83

Spectrum 1 {26}	Yes	-22.459	-36.719	2.53	55.46	13.07	6.62	5.48	1.64	11.23	3.97

Spectrum 1 {27}	Yes	-17.96	-36.719	4.03	54.06	12.54	6.92	5.37	1.64	11.29	4.14

Spectrum 1 {28}	Yes	-13.459	-36.719	4.36	53.4	12.13	7.44	5.18	1.92	11.4	4.18

Spectrum 1 {29}	Yes	-8.96	-36.719	4.4	54.11	10.92	7.7	5.35	1.52	11.64	4.37

Spectrum 1 {30}	Yes	-4.46	-36.719	3.75	54.14	10.89	8.26	5.13	1.54	11.83	4.47

Spectrum 1 {31}	Yes	0.028	-36.719	3.18	54.97	10.21	8.59	4.9	1.41	11.99	4.75

Spectrum 1 {32}	Yes	4.528	-36.719	3.14	54.33	9.55	9.59	4.76	1.8	11.98	4.84

Spectrum 1 {33}	Yes	9.029	-36.719	3.08	54.82	9.26	10.09	4.57	1.2	11.9	5.08

Spectrum 1 {34}	Yes	13.53	-36.719	0	56.84	9.16	10.59	4.77	1.11	12.13	5.38

Spectrum 1 {35}	Yes	18.031	-36.719	2.9	55.63	8.19	11.12	4.45	0.64	11.67	5.4

Spectrum 1 {36}	Yes	22.529	-36.719	0	56.91	8.09	12.16	4.36	0.98	11.95	5.55

Spectrum 1 {37}	Yes	27.028	-36.719	3	56.44	7.33	12.31	3.99	0	11.24	5.69

Spectrum 1 {38}	Yes	31.53	-36.719	0	60.86	6.73	11.81	3.67	0	10.95	5.99

Spectrum 1 {39}	Yes	36.028	-36.719	71.04	28.96	0	0	0	0	0	0

Spectrum 1 {40}	Yes	40.528	-36.719	68.1	31.9	0	0	0	0	0	0

Spectrum 1 {41}	Yes	45.03	-36.719	63.5	36.5	0	0	0	0	0	0

--	--	-44.959	-32.219	--	--	--	--	--	--	--	--

Spectrum 1 {42}	Yes	-40.458	-32.219	66.27	33.73	0	0	0	0	0	0

Spectrum 1 {43}	Yes	-35.961	-32.219	2.59	57.14	14.27	5.48	6.48	1.37	8.89	3.79

Spectrum 1 {44}	Yes	-31.46	-32.219	3.08	55.32	13.98	5.85	6.32	1.61	9.88	3.96

Spectrum 1 {45}	Yes	-26.96	-32.219	3.87	54.74	13.45	6.16	5.96	1.62	10.38	3.82

Spectrum 1 {46}	Yes	-22.46	-32.219	4.3	53.76	13.01	6.38	5.75	2.02	10.6	4.19

Spectrum 1 {47}	Yes	-17.96	-32.219	4.73	53.86	12.17	7.05	5.94	1.66	10.36	4.23

Spectrum 1 {48}	Yes	-13.459	-32.219	3.7	54.08	11.83	7.56	5.65	1.73	10.86	4.59

Spectrum 1 {49}	Yes	-8.96	-32.219	3.01	54.32	11.22	7.89	5.78	1.87	11.24	4.67

Spectrum 1 {50}	Yes	-4.46	-32.219	0	56.29	11.16	8.77	5.67	1.62	11.59	4.9

Spectrum 1 {51}	Yes	0.029	-32.219	0	55.55	10.86	9.18	5.62	1.9	11.74	5.14

Spectrum 1 {52}	Yes	4.528	-32.219	0	55.92	10.1	9.56	5.56	1.8	11.77	5.3

Spectrum 1 {53}	Yes	9.029	-32.219	0	55.98	9.7	10.49	5.19	1.52	11.64	5.49

Spectrum 1 {54}	Yes	13.528	-32.219	0	56.61	9.13	10.67	5.19	1.3	11.68	5.41

Spectrum 1 {55}	Yes	18.03	-32.219	0	56.33	8.6	11.53	5.05	1.27	11.57	5.66

Spectrum 1 {56}	Yes	22.529	-32.219	0	56.61	8.17	12.29	4.89	0.97	11.27	5.8

Spectrum 1 {57}	Yes	27.03	-32.219	0	56.91	7.67	12.9	4.43	0.97	11.1	6.02

Spectrum 1 {58}	Yes	31.53	-32.219	0	57.25	7.45	13.19	4.57	0.66	10.82	6.05

Spectrum 1 {59}	Yes	36.029	-32.219	0	58.02	6.86	13.95	4.15	0	10.66	6.36

Spectrum 1 {60}	Yes	40.529	-32.219	68.43	31.57	0	0	0	0	0	0

Spectrum 1 {61}	Yes	45.03	-32.219	62.1	37.9	0	0	0	0	0	0

--	--	-44.959	-27.717	--	--	--	--	--	--	--	--

Spectrum 1 {62}	Yes	-40.458	-27.717	2.86	55.74	15.26	5.15	6.93	1.45	9.04	3.57

Spectrum 1 {63}	Yes	-35.961	-27.717	3.38	54.9	14.69	5.29	6.84	1.77	9.24	3.9

Spectrum 1 {64}	Yes	-31.46	-27.717	3.85	53.85	13.95	6.03	6.89	2.13	9.37	3.94

Spectrum 1 {65}	Yes	-26.96	-27.717	0	56.47	13.81	6.28	7.11	1.89	10.23	4.2

Spectrum 1 {66}	Yes	-22.459	-27.717	3.03	54.42	12.87	6.59	6.87	1.77	10.2	4.25

Spectrum 1 {67}	Yes	-17.96	-27.717	2.42	55.28	12.29	7	6.34	1.89	10.31	4.47

Spectrum 1 {68}	Yes	-13.459	-27.717	2.74	54.08	11.88	7.79	6.4	2.06	10.36	4.68

